City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Surt,LY,31.2089,16.5887,72.14,84,16,10.45,few clouds
304,San Cristobal,VE,7.7669,-72.225,69.98,98,100,3.62,overcast clouds
305,San Andres,CO,12.5847,-81.7006,82.42,83,75,6.91,broken clouds
306,Ostrovnoy,RU,68.0531,39.5131,53.64,83,100,6.42,overcast clouds
307,Yumen,CN,40.2833,97.2,78.15,8,0,14.7,clear sky
308,Yulara,AU,-25.2406,130.9889,60.98,39,0,4.72,clear sky
309,Thinadhoo,MV,0.5333,72.9333,83.77,71,95,6.35,overcast clouds
310,Kaitangata,NZ,-46.2817,169.8464,45.3,86,100,21.88,light rain
311,Itarema,BR,-2.9248,-39.9167,76.15,84,56,7.92,broken clouds
312,Soanierana Ivongo,MG,-16.9167,49.5833,65.12,90,58,9.08,broken clouds
313,Ratnapura,LK,6.6828,80.3992,78.48,87,46,3.42,scattered clouds
314,Lai,TD,9.3952,16.2989,76.66,66,100,6.04,overcast clouds
315,Turayf,SA,31.6725,38.6637,67.01,59,0,13.51,clear sky
316,Batagay,RU,67.6333,134.6333,73.63,22,100,16.06,overcast clouds
317,Ust-Nera,RU,64.5667,143.2,63.12,38,100,5.26,overcast clouds
318,North Bend,US,43.4065,-124.2243,55.85,87,100,3.44,overcast clouds
319,Sioux Lookout,CA,50.1001,-91.917,59.77,62,100,7.11,overcast clouds
320,Pozo Colorado,PY,-23.4923,-58.7972,45.84,57,0,4.16,clear sky
321,Kodinar,IN,20.7903,70.7031,83.62,76,79,11.41,light rain
322,Hirara,JP,24.8,125.2833,81.37,89,95,21.39,overcast clouds
323,San Jose,US,37.3394,-121.895,72.05,70,75,12.66,broken clouds
324,Novobirilyussy,RU,56.9514,90.6661,72.64,56,57,5.23,broken clouds
325,San Patricio,US,28.017,-97.5169,85.17,76,4,17.02,clear sky
326,Ambilobe,MG,-13.2,49.05,65.03,87,0,3.38,clear sky
327,Yerbogachen,RU,61.2767,108.0108,62.92,47,100,4.81,overcast clouds
328,Ulagan,RU,50.6321,87.9563,67.32,68,100,1.28,overcast clouds
329,Sao Desiderio,BR,-12.3633,-44.9733,72.9,55,52,1.45,broken clouds
330,Nouadhibou,MR,20.931,-17.0347,67.17,85,5,26.06,clear sky
331,Luderitz,NA,-26.6481,15.1594,58.89,60,73,6.6,broken clouds
332,Nicolas Bravo,MX,18.45,-88.9167,76.66,84,10,4.56,clear sky
333,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,5.26,light rain
334,Tabou,CI,4.423,-7.3528,77.29,80,100,8.61,overcast clouds
335,Norman Wells,CA,65.282,-126.8329,38.79,97,100,12.59,light rain
336,Agadez,NE,19.75,10.25,87.37,14,0,11.16,clear sky
337,Svetlogorsk,BY,52.6333,29.7333,55.38,96,8,6.55,clear sky
338,Gushikawa,JP,26.3544,127.8686,82.4,90,75,16.11,broken clouds
339,Astoria,US,46.1879,-123.8313,54.55,76,100,10.36,light rain
340,Ossora,RU,59.2353,163.0719,45.5,81,100,1.83,overcast clouds
341,Haines Junction,CA,60.7522,-137.5108,57.94,51,100,8.37,light rain
342,Petropolis,RU,59.8944,30.2642,51.94,93,20,4.47,fog
343,Ambovombe,MG,-25.1667,46.0833,59.5,75,0,5.01,clear sky
344,Alofi,NU,-19.0595,-169.9187,78.82,77,22,13.87,few clouds
345,Coahuayana,MX,18.7333,-103.6833,81.45,75,41,3.04,scattered clouds
